,organelle,mean,median
0,peroxisome,-0.0946926724801553,-0.014436698139006228
1,vacuole,-0.06687176371102646,-0.017647058823529318
2,ER,0.10714575080829153,0.026663299177370325
3,golgi,0.2563460153464361,0.23767014878126
4,mitochondria,0.12779451052490517,0.10983981693363849
5,LD,-0.06416238972122365,-0.06823949246629661
